Insumo   ;Embalagem  ;Descricao  ;Quantidade ;Valor;Preco Medio;Ultimo Preco
1;PCT.      ;ABAIXADOR DE LINGUA ESPATULA DE MADEIRA DESC. PCT C/ 100 UND                              ;954;6186,96;6,485283;7,11
2;UM        ;SERINGA DESC.03ML S/AGULHA LUER LOCK                                                      ;62288;8752;0,140508;0,25
3;UM        ;MASCARA P/BALAO AUTO INFLAVEL SEMI TRANSPARENTE/TRANPARENTE                               ;0;0;0;10,27
4;UM        ;SERINGA DESC.05ML S/AGULHA LUER LOCK                                                      ;2584;343,04;0,132755;0,11
5;UM        ;SERINGA DESC.60ML S/AGULHA LUER LOCK                                                      ;76470;150240,6;1,964699;1,96
6;UM        ;SERINGA DESC.20ML S/AGULHA LUER LOCK                                                      ;0;0;0;0,47
7;UM        ;SERINGA DESC.10ML C/AGULHA LUER LOCK                                                      ;0;0;0;0,4
8;UM        ;SERINGA DESC.10ML S/AGULHA LUER LOCK                                                      ;0;0;0;0,2
11;UM        ;CUECA DESCARTAVEL, TECIDO TNT, COR BRANCA, TAM GG                                         ;16;157,44;9,84;9,84
12;UM        ;SABONETE LIQUIDO COM TRICLOSAN 0,3%, ANT-SEPTICO FRASCO COM 1000 ML EXCLUIDO (INATIVO)    ;0;0;0;7,9
13;UM        ;BRACADEIRA ESFIGMOMANOMETRO ANEROIDE ALGODAO/NYLON NEONATAL                               ;61;1321,13;21,657868;21,77
14;UM        ;BRACADEIRA ESFIGMOMANOMETRO ANEROIDE NYLON INFANTIL                                       ;80;1343,2;16,79;16,79
15;UM        ;BRACADEIRA ESFIGMOMANOMETRO ANEROIDE NYLON ADOLESCENTE/ADULTO                             ;316;5226,88;16,540759;15,33
16;UM        ;BRACADEIRA ESFIGMOMANOMETRO ANEROIDE NYLON ADULTO OBESO                                   ;3;80,25;26,75;26,75
17;UM        ;ELETRODO ADESIVO DE SUPERFICIE TAB ELETRONEUROMIOGRAFIA                                   ;0;0;0;1,74
19;UM        ;ALCOOL ISOPROPILICO 100% 1 LITRO                                                          ;1235;23749,05;19,23;19,23
20;UM        ;SABONETE LIQUIDO ERVA DOCE 5 LITROS                                                       ;0;0;0;19,56
21;UM        ;ACIDO CLORIDRICO 37% 5 LITROS                                                             ;41;7607,14;185,54;185,54
22;UM        ;DIGLICONATO DE CLOREXIDINA 0,12% EM GEL - BISNAGA 20 GRAMAS                               ;716;7002,48;9,78;9,78
23;UM        ;CUFOMETRO                                                                                 ;3;6458,58;2152,86;2152,86
24;UM        ;SACHE COMPRESSA UMEDECIDA DE ALCOOL 70%                                                   ;79200;3960;0,05;0,05
25;UM        ;FRASCO COLETOR DE PRODUTOS QUIMICOS E FARMACEUTICOS 20ML                                  ;0;0;0;0
26;FR.       ;DILATADOR CERVICAL DENNISTON KIT COM 5 DILATADORES:5-6MM,7-8MM, 9-10MM, 11-12MM E 13-14MM.;0;0;0;533,74
27;FR.       ;TUBO CRIOGENICO (5ML)                                                                     ;1000;1060;1,06;1,06
28;FR.       ;KIT ASPIRADOR UTERINO: ASPIRADOR + 8 CANULAS DIAMETROS DE 4 A 12 MM                       ;9;4803,66;533,74;533,74
37;UM        ;CONECTOR VALVULADO SISTEMA FECHADO PRESSAO NEUTRA                                         ;7000;18200;2,6;2,6
42;UM        ;(NEFRO)KIT CDL 07FR X 20 EM POLIURETANO - CATETER DUPLO LUMEN PEDIATRICO                  ;0;0;0;100
73;PCT.      ;AGULHA DE CORTE AUTOMATICA P/BIOPSIA DE MAMA SACN 1412                                    ;0;0;0;43
74;UM        ;AGULHA DESCARTAVEL (13 X 4.5)                                                             ;0;0;0;0,33
75;UM        ;AGULHA DESCARTAVEL (25 X 7.0)                                                             ;0;0;0;0,51
76;UM        ;AGULHA DESCARTAVEL (25 X 8.0)                                                             ;0;0;0;0,06
77;UM        ;AGULHA DESCARTAVEL (30 X 8.0) COM E SEM DISPOSITIVO DE SEGURANCA                          ;61500;15750;0,256097;0,25
78;UM        ;AGULHA DESCARTAVEL (30 X 7.0)                                                             ;0;0;0;0,17
79;UM        ;AGULHA DESCARTAVEL (40 X 12.0)COM OU SEM DISPOSITIVO DE SEGURANCA.                        ;85600;17120;0,2;0,2
80;UMA       ;AGULHA DESCARTAVEL (40 X 16)                                                              ;0;0;0;0,06
81;UM        ;AGULHA DESCARTAVEL COLETA A VACUO 25X0,8MM.                                               ;400;228;0,57;0,57
83;UM        ;AGULHA DESC.P/ANESTESIA RAQUIDIANA 27G X 3 1/2                                            ;3800;16036;4,22;4,22
